"activity.name" "subject" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.."
"Laying" 16.6435185185185 0.268648643302469 -0.0183177284670782 -0.10743563156893 -0.960932405036008 -0.943507185570988 -0.948069300020576 -0.375021333842593 0.622270362906379 0.555612474089506 -0.943319727952675 -0.963191706085391 -0.951868724372428 0.0818473902469136 0.0111723567283951 -0.004859769531893 -0.980381808513375 -0.971147567757202 -0.979476595910494 -0.0167253407098765 -0.0934107107407407 0.125885141723251 -0.967892432932099 -0.963192469243827 -0.963509228024691 -0.101864299660494 -0.03819808593107 -0.0638498201131687 -0.976124813760288 -0.980473581049383 -0.984782526095679 -0.941110656496914 -0.932160020509259 -0.941110656496914 -0.932160020509259 -0.97920875497428 -0.974240573559671 -0.938435972026749 -0.940596109588477 -0.982726626075103 -0.976754966054527 -0.966812071347737 -0.952678416908436 -0.960018019984568 -0.959031456044239 -0.942460971075103 -0.945643635447531 -0.259376067273663 0.143045583976337 0.203186962813786 -0.980197655180041 -0.971383628894033 -0.976614530180041 -0.982459599243827 -0.973051242896091 -0.980971915740741 0.105178708014403 0.00485365390432099 0.0699619901337449 -0.962915035776749 -0.967582058544239 -0.964184423173868 -0.96974730340535 -0.961365374902263 -0.966725247165638 -0.0174605087345679 -0.139337310740741 0.113280102484568 -0.947672711723251 -0.934916672885802 0.116228984891975 -0.974300115365226 -0.97318339962963 0.281115014850823 -0.95485445779321 -0.94211571441358 -0.0293652945936214 -0.977968240452675 -0.976648216795267 0.165728127330247
"Sitting" 16.6803601575689 0.273059614428813 -0.0126895733652223 -0.105517003314575 -0.983446221750141 -0.934880562898143 -0.938981580613393 0.879731193472144 0.108713540303883 0.153774088519977 -0.979682230393922 -0.957672740348903 -0.947357438593134 0.0758788496679797 0.00504690558806978 -0.00248666064715813 -0.984997226336522 -0.973883160517726 -0.982296486972425 -0.0384313172537985 -0.0721208102419809 0.0777771464659539 -0.981022213218908 -0.966708127310073 -0.958007496724817 -0.0956521062577378 -0.0407797810298255 -0.0507555283567811 -0.985705127658976 -0.986502338745076 -0.983805514068655 -0.95464392144063 -0.939324188356781 -0.95464392144063 -0.939324188356781 -0.98244444337085 -0.978907079240293 -0.946724138930782 -0.951199015616207 -0.987880071435003 -0.98460762855937 -0.983091966702307 -0.947917966195836 -0.957031035424873 -0.983747266764209 -0.932533490270118 -0.934336687979741 -0.0426402475126618 0.0653031714969049 0.0802983762352279 -0.985188769302195 -0.973988189836804 -0.97956197226224 -0.98618495368036 -0.975750855391109 -0.983670821046708 0.185014353905459 -0.0583108773944851 0.00299622477771525 -0.977267261395611 -0.972457592965672 -0.961028716797974 -0.982333273978616 -0.964033658897017 -0.961030235486775 0.0625911647326955 -0.218028334637029 -0.0126999936916151 -0.952410413224536 -0.942000150697805 0.114105393460889 -0.978684370388295 -0.978154770658413 0.281460817900957 -0.964296113911086 -0.95164173587507 -0.0764395526223973 -0.985335632976927 -0.984491355740011 0.177738590557119
"Standing" 16.5131164742917 0.279153494050367 -0.0161518868467996 -0.106586908814271 -0.98443471156873 -0.932508714024134 -0.939913504674711 0.941479635262329 -0.184246513976915 -0.0140519612119622 -0.988015176652676 -0.969351769994753 -0.953082525823715 0.0750279178541448 0.00880525886673662 -0.00458206128016789 -0.97996855569255 -0.964342752203568 -0.979485931469045 -0.0266871412067156 -0.0677118658814271 0.0801422399475341 -0.94552836296957 -0.961293278672613 -0.957053051274921 -0.0997292810178384 -0.0423171105613851 -0.0520955490188877 -0.966957942859391 -0.980263299260231 -0.977067117235047 -0.954179661789087 -0.946534779480588 -0.954179661789087 -0.946534779480588 -0.97711802452256 -0.971452977271773 -0.942152523158447 -0.929531182355719 -0.978697092402938 -0.973528580524659 -0.98162230498426 -0.943132376852046 -0.957359650828961 -0.985859786930745 -0.931132967334732 -0.935439598488982 0.0155958492339979 -0.0332741191080797 0.052467002544596 -0.980008693961175 -0.96454742224554 -0.976157838746065 -0.981826075755509 -0.966831630482686 -0.981509250650577 0.2028999613851 -0.131892581867786 0.00670022895068206 -0.943654258352571 -0.965302753756558 -0.958384988536201 -0.946971557429171 -0.959498600608604 -0.960689223903463 -0.227494715975866 -0.216012369910808 -0.0914293859548793 -0.955868098520462 -0.949601613473242 0.04849473681532 -0.971090423866737 -0.970947966726128 0.251268414973767 -0.94790849906086 -0.93063670339979 -0.183705132429171 -0.974885979685205 -0.973461064197272 0.0848650395120672
"Walking" 15.2729384436702 0.276336875325203 -0.0179068334320557 -0.108881687909408 -0.314644454349593 -0.0235829464866434 -0.273920799059233 0.93499157825784 -0.196713497334495 -0.0538251248664344 -0.977612074494773 -0.966903875917538 -0.954597565156794 0.0767187377409988 0.011506192485482 -0.00231938615563298 -0.267288163362369 -0.103141139221835 -0.47914712097561 -0.0347275767770035 -0.0694200438501742 0.0863626489837398 -0.469914839343786 -0.347921806329849 -0.338448612526132 -0.0943007120034843 -0.0445701108710801 -0.0540064675087108 -0.376221402787456 -0.51261906786295 -0.447427245423926 -0.167937854082462 -0.337753985586527 -0.167937854082462 -0.337753985586527 -0.241451989860627 -0.214555894361208 -0.274866019256678 -0.38262901597561 -0.460511516759582 -0.498841024680604 -0.297890931869919 -0.0423392245934959 -0.341840674930314 -0.322835798368177 -0.0772063416434379 -0.296078309250871 -0.286858277682927 0.0518636618002323 0.0749560748373984 -0.311127438461092 -0.170395065778165 -0.451010514407665 -0.287897688484321 -0.0908699078861789 -0.506329080400697 -0.258388290632985 -0.35465911 -0.240686496800232 -0.348237370905923 -0.38838488612079 -0.310406242653891 -0.510431986713124 -0.331961524657375 -0.410569112537747 -0.0677418230778165 -0.0984530711440186 -0.0721787296980256 -0.275558097485482 -0.480002278147503 0.184417205557491 -0.214653971986063 -0.221617770301974 0.0773140386527294 -0.409173038519164 -0.473833093606272 0.163203814262485 -0.515516844227642 -0.514404823675958 0.130805801248548
"Walking Downstairs" 15.8285917496444 0.288137227752489 -0.0163119256187767 -0.105761625071124 0.100766330967283 0.0595486229302987 -0.190804507460882 0.926457404928876 -0.168507222083926 -0.0479709005192034 -0.949748838733997 -0.934266078534851 -0.912460554516358 0.0892266917567568 0.000746749082503556 -0.0087286040398293 -0.03388264685633 -0.0736744063584637 -0.388666069459459 -0.084034543485064 -0.0529928639829303 0.0946781962091038 -0.333817475056899 -0.339631376927454 -0.272809910668563 -0.0728532274893314 -0.0512639793527738 -0.0546961525462304 -0.382689771991465 -0.465943810590327 -0.326455992517781 0.101249699871977 0.11648891440256 0.101249699871977 0.11648891440256 -0.11180182125889 -0.0112206659174964 -0.129785639736842 -0.251427801045519 -0.416891551244666 -0.440929331614509 0.0352596686842105 0.0566826541963016 -0.213729232759602 0.121937984843528 -0.00823367145803698 -0.245872896778094 -0.400019573406828 0.000603134480796586 0.0924263373328592 -0.0722967761522048 -0.116380593186344 -0.333190280476529 -0.0821905158819346 -0.0914164605334282 -0.443554664651494 -0.314941325469417 -0.386044309480797 -0.237402802645804 -0.217922875604552 -0.317592694146515 -0.165625144559033 -0.375127467923186 -0.361853682859175 -0.380409999274538 -0.170016349765292 -0.0440853930725462 -0.0187917610810811 0.142849426251778 -0.0754251669345661 0.0250364653485064 0.00476245910384068 -0.0422714225035562 0.0200704059388336 -0.289525832475107 -0.361230992211949 0.0671727850853485 -0.438007290291607 -0.486442976088193 0.0957588245803698
"Walking Upstairs" 15.7169689119171 0.262294649507772 -0.0259232893264249 -0.120537934851036 -0.237989748005181 -0.0160325123704663 -0.175449700492228 0.875003375958549 -0.281377193542746 -0.140795665809585 -0.948191332253886 -0.925549271962435 -0.901905618180052 0.0767293215414508 0.00875888961787565 -0.00600953398963731 -0.360863432409326 -0.339226496735751 -0.627063649760363 0.00682449599740933 -0.0885225290025907 0.0598938080634715 -0.467607138283679 -0.344231806683938 -0.237136760731865 -0.112117464663212 -0.0386192672279793 -0.0525810277979275 -0.553132758361399 -0.667339157124352 -0.560989210945596 -0.100204123898964 -0.249875157027202 -0.100204123898964 -0.249875157027202 -0.390938624553109 -0.385400351586788 -0.178281147512953 -0.337142124158031 -0.608047148031088 -0.666836734073834 -0.293406752286269 -0.134950514410622 -0.3681220610557 -0.218887990064767 -0.0218110366515544 -0.146601790472798 -0.436683976658031 -0.169851327247409 -0.265200271139896 -0.389896773128238 -0.364666839831606 -0.591670061638601 -0.388992761275907 -0.357632925680052 -0.661590843134715 -0.339080440615285 -0.452501330582902 -0.44116273988342 -0.394248174080311 -0.459253469015544 -0.296857721645078 -0.495253976703368 -0.29318182767487 -0.292041341981865 -0.212837257389896 -0.319518692033679 -0.260341101910622 -0.262028113238342 -0.361753456891192 -0.0532170060621762 -0.35396199994171 -0.434206731955959 0.0628726059261658 -0.44978138265544 -0.38140636382772 -0.168707548536269 -0.658694456437824 -0.703083532117876 0.0941124521955959
NA 1 0.265696920576369 -0.0182981727377522 -0.107845734639769 -0.545795331325648 -0.36771621815562 -0.502645746455331 0.744867411556196 -0.0825562579827089 0.0723398703170029 -0.959859435936599 -0.951150627463977 -0.925817590864553 0.0770930497694525 0.0165908439481268 -0.00910758720461095 -0.524721922881844 -0.47041240351585 -0.717322274870317 -0.0208764067723343 -0.0880722730835735 0.0862641669740634 -0.68655571518732 -0.450979810403458 -0.597496136772334 -0.0971120201152738 -0.0417164810662824 -0.0471393986455331 -0.637812687233429 -0.634472244553314 -0.664591977809798 -0.453632944005764 -0.497096401959654 -0.453632944005764 -0.497096401959654 -0.545431612017291 -0.515922167435159 -0.47540478573487 -0.499839593804035 -0.639517432622478 -0.652050770893372 -0.531895161268012 -0.406435448904899 -0.596411165244957 -0.553060616743516 -0.390150939510086 -0.49858309167147 -0.180558714034582 0.0576291647262248 0.0583692777233429 -0.547348892420749 -0.507343618069164 -0.695305113832853 -0.543979776195965 -0.466251676541787 -0.737861932680115 -0.0488005966282421 -0.215279158184438 -0.0964496376368876 -0.623219182305475 -0.505309434092219 -0.553529065417867 -0.708263420864553 -0.429825832680115 -0.650476162132565 -0.0320324104899135 -0.0901517236599424 -0.0180063945244957 -0.47844852351585 -0.589710231239193 0.142062162536023 -0.499075765706052 -0.541823079654179 0.200055179567723 -0.535002770317003 -0.566576670432277 0.064930943832853 -0.645970655273775 -0.685811262622478 0.198031580172911
NA 2 0.273113115794702 -0.0191323183443709 -0.115649958410596 -0.60558649718543 -0.428962986523179 -0.589360062152318 0.660782866688742 -0.14721988705298 0.134865335165563 -0.963015508245033 -0.960033560165563 -0.945365383907285 0.0785353159602649 0.00708771238410596 0.000755760827814569 -0.557809603145695 -0.491875889768212 -0.741885388311258 -0.0517030657615894 -0.0568420188410596 0.0872599426821192 -0.71064892781457 -0.722943674337748 -0.63488892794702 -0.087558749205298 -0.0433986838410596 -0.0557541831456954 -0.671679103311258 -0.783595466721854 -0.674611933377483 -0.535281800463576 -0.552812545629139 -0.535281800463576 -0.552812545629139 -0.587777445463576 -0.512115278476821 -0.61477105486755 -0.680584887880795 -0.746559539039735 -0.740088733675497 -0.573770911456954 -0.432566581291391 -0.630081222119205 -0.619788102748344 -0.464723862847682 -0.600678614801324 -0.106763418940397 0.105734175993377 0.0872105863907285 -0.561682049668874 -0.50890379897351 -0.715745330364238 -0.595105612847682 -0.509147543774834 -0.767087015496689 0.0868000535099338 -0.139776595264901 -0.0942651868543046 -0.638717694602649 -0.722068978642384 -0.601594889735099 -0.734588540165563 -0.72716774102649 -0.683114494569536 -0.00576500655629139 -0.0702155008940397 0.0513627290397351 -0.514569861258278 -0.646662308344371 0.192199738410596 -0.50974643294702 -0.518800797682119 0.193066821192053 -0.699742945231788 -0.725310337682119 0.0471324811258278 -0.751615078377483 -0.744194981423841 0.124612068675497
NA 3 0.273428719648094 -0.0178560677419355 -0.106492632727273 -0.62341360202346 -0.480015920821114 -0.653625579296188 0.707814353343108 -0.0260590480351906 0.0480937902932551 -0.966457565630499 -0.9445645371261 -0.926966278211144 0.0701731263636364 0.0144664329912023 -0.000526818856304985 -0.635484688152493 -0.557211867829912 -0.796066240234604 -0.0248490685630499 -0.0743565309677419 0.086687550058651 -0.699262195718475 -0.76302218170088 -0.709483440322581 -0.0991554612903226 -0.0401923945747801 -0.0521178265395894 -0.689328428592375 -0.842659862111437 -0.743028500557185 -0.563140802785924 -0.591224780322581 -0.563140802785924 -0.591224780322581 -0.650182434340176 -0.607658214222874 -0.643150121642229 -0.674010290967742 -0.784056656246334 -0.80366136372434 -0.625733289853372 -0.501779938533724 -0.699656828592375 -0.623805015278592 -0.502753639824047 -0.657443765806452 -0.192817340469208 0.0389282524633431 0.00447261451612903 -0.645893496686217 -0.582949919178886 -0.780101644193548 -0.657844055923754 -0.559851186041056 -0.81080601659824 -0.047694120058651 -0.236874240997067 -0.193657539178886 -0.642097719794721 -0.775144985073314 -0.670734709002933 -0.719276622697947 -0.758505287214076 -0.751008875659824 -0.10256806771261 -0.167675025718475 -0.0321862688269795 -0.57907645372434 -0.663079839002933 0.0770665588269795 -0.604752108035191 -0.615643695014663 0.112319841730205 -0.716822144281525 -0.703839403020528 -0.0846075231085044 -0.810085498651026 -0.810032718739003 0.059962873313783
NA 4 0.274183111514196 -0.0148081545741325 -0.107521431041009 -0.605211727791798 -0.509929384037855 -0.709492735962145 0.706593043123028 0.112591195205047 0.164130896845426 -0.962636979274448 -0.941416800157729 -0.941403426056782 0.0788637848264984 0.00351340977917981 -0.00737375164037855 -0.631853083217666 -0.584063204700315 -0.843353231167192 -0.0289417909148265 -0.0787229910094637 0.0957174866876972 -0.701397703375394 -0.79823574873817 -0.726374197066246 -0.107859315899054 -0.0400427576971609 -0.057808930977918 -0.723788617823344 -0.902502592618297 -0.748369141324921 -0.561582135141956 -0.60655604955836 -0.561582135141956 -0.60655604955836 -0.656116311861199 -0.647249966845426 -0.65629109384858 -0.706738493533123 -0.819191368044164 -0.844187064164038 -0.628806379148265 -0.525834566246057 -0.755235428895899 -0.597551324132492 -0.534661524416404 -0.708764043722397 -0.184518571356467 0.0847707537223975 -0.016409685488959 -0.652023078044164 -0.601696223753943 -0.825154871135647 -0.644622004700315 -0.593855151545741 -0.860544668359621 -0.000543991798107255 -0.180584111514196 -0.110565549369085 -0.641881977539432 -0.831527531009464 -0.689308946435331 -0.721749187318612 -0.782885735867508 -0.7670895729653 -0.118518212618297 -0.375332544574133 0.0241889404416404 -0.602098037697161 -0.67294834170347 0.0963636689905363 -0.635019005394322 -0.66650671895899 0.160479882649842 -0.745650754605678 -0.732586304826498 -0.129301517192429 -0.838833209652997 -0.863096864037855 0.159075727665615
